"","V1"
"1",1.02620999917873
"2",1.45267007214281
"3",2.38398515813111
"4",-2.13809854456865
"5",-1.71302935466864
"6",0.983925406709263
"7",1.64541438354045
"8",-1.31204499333913
"9",2.2028935408877
"10",-0.979188343278507
"11",1.36988664675882
"12",-1.76852307014221
"13",1.38576884813575
"14",3.69811874278178
"15",0.184059895598318
"16",0.714305272643664
"17",-0.422249148901263
"18",0.169993323909397
"19",3.27245682417509
"20",0.9282692235145
"21",-2.37049819514834
"22",4.70681013530259
"23",2.95428927500293
"24",-1.18979874684429
"25",-0.0601828236765266
"26",1.71924681237923
"27",1.96313349090664
"28",0.126018315107445
"29",0.259173966807908
"30",0.901522781200601
"31",2.13659380297293
"32",-0.948997880273461
"33",0.576915311011687
"34",-0.978328902765742
"35",-1.7883945620256
"36",2.91764289283417
"37",1.55036863060323
"38",3.44270727387308
"39",-0.460124806487164
"40",2.48110941627814
"41",0.608480867868281
"42",0.645975264740025
"43",-1.12899325542938
"44",1.3336026424589
"45",5.43501968720514
"46",1.27064087745806
"47",-0.536588442557534
"48",2.82035423602419
"49",0.168413000002355
"50",-0.020224747291323
"51",0.461170963179284
"52",1.10892073757527
"53",2.28638992618335
"54",0.887701558303704
"55",0.578570431577038
"56",-0.00247272781944287
"57",3.5989873847299
"58",-0.465477936793697
"59",-1.52263335492387
"60",1.6149882414371
"61",-0.832502287320666
"62",1.40264134796902
"63",1.54919653836036
"64",1.88915902662992
"65",0.476873047240341
"66",1.6976897611057
"67",0.566485409277838
"68",3.79453466626016
"69",-0.794428854757781
"70",2.83128338117488
"71",-0.231706724950684
"72",-0.0777479549415312
"73",2.05138839156737
"74",3.47329183297892
"75",0.6053501841247
"76",5.19618577055003
"77",2.45275636723513
"78",0.450631095116726
"79",3.08177934292719
"80",1.59996586243184
"81",1.3556047990498
"82",0.393975499928011
"83",-0.780241170780932
"84",2.48987561908003
"85",1.14195378703369
"86",-2.35974624692251
"87",-0.816496174687919
"88",1.85209987848794
"89",0.642207579610682
"90",3.70273133731819
"91",-0.200925555333574
"92",-0.181874050512952
"93",1.17565258121164
"94",-0.569099023120012
"95",0.73555740126827
"96",2.32569287527528
"97",3.65362164470848
"98",0.861765393598205
"99",0.817739356551613
"100",3.01047295756801
"101",1.10266504965047
"102",-0.687908281756531
"103",0.821937551445467
"104",1.10463034950455
"105",0.381279096149624
"106",-2.16664075085516
"107",2.92190877055189
"108",0.824469226095726
"109",2.59601630825709
"110",0.0688214707836448
"111",2.27481732959265
"112",-0.0540007538982985
"113",2.68585780918017
"114",0.827172149995433
"115",-0.297290247534484
"116",0.891216007877383
"117",-1.6727294723683
"118",1.35516136829202
"119",0.11402308421814
"120",1.66612663698034
"121",3.02415665292864
"122",-1.55180658240305
"123",-0.0884616251693557
"124",2.00290710792513
"125",1.01363834608687
"126",-1.67464540673557
"127",0.00471775766472114
"128",0.00760138521990438
"129",-0.838452142543702
"130",2.90162859284697
"131",-1.36495350494178
"132",1.13850453718473
"133",-0.217609399637115
